MR: 10, NQs: 2
0.000 0.032 0.076 0.105 0.099 0.065 0.031 0.012 0.003 0.000 
MR: 20, NQs: 2
0.000 0.000 0.002 0.007 0.019 0.036 0.054 0.070 0.074 0.067 0.052 0.035 0.020 0.010 0.004 0.001 0.000 0.000 0.000 0.000 
MR: 40, NQs: 2
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.003 0.006 0.011 0.017 0.027 0.034 0.043 0.050 0.053 0.051 0.047 0.039 0.031 0.022 0.014 0.009 0.005 0.003 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
MR: 80, NQs: 2
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.002 0.003 0.005 0.007 0.009 0.013 0.018 0.022 0.026 0.030 0.034 0.036 0.038 0.037 0.036 0.032 0.029 0.025 0.020 0.015 0.012 0.009 0.006 0.004 0.003 0.002 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
MR: 160, NQs: 2
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.002 0.002 0.003 0.004 0.006 0.007 0.009 0.010 0.013 0.015 0.017 0.019 0.021 0.023 0.025 0.025 0.026 0.027 0.026 0.025 0.025 0.022 0.021 0.020 0.017 0.014 0.012 0.010 0.008 0.006 0.005 0.004 0.003 0.002 0.002 0.001 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
MR: 320, NQs: 2
