Num S1 Qs, Num S2 Qs, Max Rank, S1 Norm. Mean Inversions, S2 Norm. Mean Inversions
2, 2, 640, 0.498, 0.497
2, 4, 640, 0.498, 0.496
2, 8, 640, 0.498, 0.492
2, 16, 640, 0.498, 0.486
4, 2, 640, 0.496, 0.496
4, 4, 640, 0.496, 0.494
4, 8, 640, 0.496, 0.491
4, 16, 640, 0.496, 0.485
8, 2, 640, 0.493, 0.492
8, 4, 640, 0.493, 0.491
8, 8, 640, 0.493, 0.488
8, 16, 640, 0.493, 0.481
16, 2, 640, 0.487, 0.486
16, 4, 640, 0.487, 0.485
16, 8, 640, 0.487, 0.481
16, 16, 640, 0.487, 0.475
