Num S1 Qs, Num S2 Qs, Max Rank, S1 Norm. Mean Inversions, S2 Norm. Mean Inversions
2, 2, 320, 0.497, 0.496
2, 4, 320, 0.497, 0.493
2, 8, 320, 0.497, 0.486
2, 16, 320, 0.497, 0.474
4, 2, 320, 0.494, 0.493
4, 4, 320, 0.494, 0.489
4, 8, 320, 0.494, 0.483
4, 16, 320, 0.494, 0.470
8, 2, 320, 0.488, 0.486
8, 4, 320, 0.488, 0.483
8, 8, 320, 0.488, 0.477
8, 16, 320, 0.488, 0.464
16, 2, 320, 0.475, 0.474
16, 4, 320, 0.475, 0.470
16, 8, 320, 0.475, 0.464
16, 16, 320, 0.475, 0.451
