Num S1 Qs, Num S2 Qs, Max Rank, S1 Norm. Mean Inversions, S2 Norm. Mean Inversions
2, 2, 1000, 0.499, 0.498
2, 4, 1000, 0.499, 0.497
2, 8, 1000, 0.499, 0.495
2, 16, 1000, 0.499, 0.491
4, 2, 1000, 0.498, 0.497
4, 4, 1000, 0.498, 0.496
4, 8, 1000, 0.498, 0.494
4, 16, 1000, 0.498, 0.490
8, 2, 1000, 0.496, 0.495
8, 4, 1000, 0.496, 0.494
8, 8, 1000, 0.496, 0.492
8, 16, 1000, 0.496, 0.488
16, 2, 1000, 0.492, 0.491
16, 4, 1000, 0.492, 0.490
16, 8, 1000, 0.492, 0.488
16, 16, 1000, 0.492, 0.484
