Num Qs, Max Rank, Norm. Mean Inversions
2, 10, 0.400
2, 20, 0.451
2, 40, 0.475
2, 80, 0.488
2, 160, 0.494
2, 320, 0.497
2, 640, 0.500
2, 1000, 0.499
4, 10, 0.300
4, 20, 0.400
4, 40, 0.450
4, 80, 0.476
4, 160, 0.487
4, 320, 0.493
4, 640, 0.496
4, 1000, 0.497
8, 10, 0.101
8, 20, 0.300
8, 40, 0.399
8, 80, 0.450
8, 160, 0.474
8, 320, 0.487
8, 640, 0.493
8, 1000, 0.495
16, 10, 0.000
16, 20, 0.100
16, 40, 0.299
16, 80, 0.399
16, 160, 0.449
16, 320, 0.473
16, 640, 0.486
16, 1000, 0.490
